molecule,repro_np1_s,repro_np16_s,mpqc_np1_s,mpqc_np16_s,single_rank_gap,np16_gap,repro_scaling,mpqc_scaling,scaling_gap
C2H6,12.4,6.6,7.7,4.2,1.60,1.57,1.87,1.84,0.98
C3H8,66.3,30.5,31.3,6.8,2.12,4.47,2.18,4.59,2.11
C4H10,155.5,48.9,76.9,10.3,2.02,4.75,3.18,7.45,2.35
C5H12,391.5,111.7,233.1,20.5,1.68,5.46,3.50,11.38,3.25
