molecule,aux_target_size,T2_wall_s,peak_rss_kb,t2_nnz,t2_sum,t2_sumsq,t2_max_abs
C2H6,0,12.651583972999999,3646108,150301,-0.00067718544117962773,0.11795933644671232,0.017023360167109286
C2H6,96,12.579209727,2066400,150301,-0.00067718544111804039,0.11795933644671221,0.017023360167109532
C3H8,0,79.045436632000005,12025456,261914,-0.043807963502032241,0.16972314127471835,0.018911469662507084
C3H8,96,74.529651672,5011812,261914,-0.043807963502390329,0.16972314127471999,0.018911469662507053
C4H10,0,160.35447643200001,28851816,371400,-7.1058764555103471,16.894257248692796,0.1797012575668803
C4H10,96,159.20797461800001,10769492,371400,-7.1058764555108533,16.894257248692675,0.17970125756687944
C5H12,0,397.37627298699999,56924840,482201,-0.035483578135543703,0.27992246366082324,0.018122330559739643
C5H12,96,395.35703911000002,27031020,482201,-0.035483578135410018,0.27992246366082202,0.018122330559739663
