config,trial,T1_s,T2_s,t2_nnz,t2_sum,t2_sumsq
baseline_committed,1,6.4687329069999997,50.234048274000003,371400,-7.1058764555106997,16.894257248693293
baseline_committed,2,6.3046965019999996,47.167901385999997,371400,-7.1058764555107867,16.894257248693226
occ17_t2,1,5.6497262370000003,51.067791077999999,371400,-7.1058764555105727,16.894257248693304
occ17_t2,2,6.7087510269999999,47.752159229,371400,-7.1058764555110931,16.894257248693251
occ17_t4,1,6.9369308639999998,55.524423509000002,371400,-7.1076772556319625,16.896170396166447
occ17_t4,2,7.0506002570000001,49.327539831999999,371400,-7.107677255632237,16.896170396166347
occ17_t8,1,8.5271149719999997,78.790958631999999,371400,-7.1076772556323995,16.896170396166422
occ17_t8,2,10.108416864000001,81.307169200999994,371400,-7.1076772556324626,16.896170396166443
occ17_t4_tpd6,1,6.5881073429999999,53.411972096,371400,-0.067245123400699158,0.22150546534340196
occ17_t4_tpd6,2,7.2967086600000002,53.656552642000001,371400,-0.067245123400859197,0.22150546534340196
