molecule,np,side,trial,T1_s,T2_s,t1_nnz,t1_sum,t2_nnz,t2_sum,t2_sumsq,note
C2H6,16,repro,1,1.2295276580000001,6.5613067459999996,643,-0.0047134671799175252,150301,-0.00067718544099773514,0.11795933644671322,ok
C2H6,8,repro,1,1.3172703130000001,8.1924124559999996,643,-0.0047134671799515101,150301,-0.00067718544102075839,0.11795933644671278,ok
C2H6,4,repro,1,1.3178811159999999,9.6909419159999999,643,-0.0047134671799508639,150301,-0.00067718544095810365,0.1179593364467121,ok
C2H6,2,repro,1,1.390082746,12.437420787000001,643,-0.0047134671799383739,150301,-0.00067718544113062884,0.11795933644671272,ok
C2H6,1,repro,1,0.86936133400000004,12.228336242999999,643,-0.0047134671799890469,150301,-0.00067718544101391534,0.11795933644671222,ok
C3H8,16,repro,1,3.072291211,30.026734919999999,964,-0.00065916416480533025,261914,-0.04380796350183877,0.16972314127471816,ok
C3H8,8,repro,1,3.3589516260000001,35.613392431000001,964,-0.00065916416480640665,261914,-0.043807963502865019,0.16972314127471808,ok
C3H8,4,repro,1,4.1522213150000002,48.145532527999997,964,-0.00065916416484501509,261914,-0.043807963502744962,0.16972314127471771,ok
C3H8,2,repro,1,5.1834889290000001,63.044757376,964,-0.00065916416486698796,261914,-0.043807963502475698,0.16972314127472038,ok
C3H8,1,repro,1,4.6143761080000001,66.059111541999997,964,-0.00065916416484230588,261914,-0.043807963502539654,0.16972314127472121,ok
C4H10,16,repro,1,6.594197222,48.415169366000001,1301,-0.0039661188040361816,371400,-7.1058764555104572,16.894257248693108,ok
C4H10,8,repro,1,8.0953601689999992,67.761320824999999,1301,-0.0039661188040220237,371400,-7.1058764555105167,16.894257248693219,ok
C4H10,4,repro,1,9.2332175339999996,99.327046949999996,1301,-0.0039661188040229344,371400,-7.10587645551088,16.894257248693169,ok
C4H10,2,repro,1,12.579322802,133.44325728499999,1301,-0.0039661188040226586,371400,-7.1058764555105025,16.894257248692995,ok
C4H10,1,repro,1,11.024758853,154.647252708,1301,-0.0039661188040318353,371400,-7.1058764555108249,16.894257248692796,ok
C5H12,16,repro,1,14.877228604000001,114.814450979,1633,0.00036167896435517627,482201,-0.03548357813509323,0.27992246366082263,ok
C5H12,8,repro,1,16.654885901,149.252058963,1633,0.00036167896438222299,482201,-0.035483578135166172,0.27992246366082163,ok
C5H12,4,repro,1,22.142390087999999,215.11200034000001,1633,0.00036167896434091511,482201,-0.035483578135412253,0.27992246366082413,ok
C5H12,2,repro,1,28.885019230000001,339.00699257399998,1633,0.00036167896433242017,482201,-0.035483578135455246,0.27992246366082657,ok
